ids,annotatorId,texts,counterSpeechs,counterSpeechTypes,textTypes
389,A9J41F0FTR2R7,খানকি মাগি আমার ধোনে চুমা দে এসে।,আপনার ভাষা ও মানসিকতা খুবই জঘন্য। গালি দিচ্ছেন আবার চুমা চাইছেন? আপনার চিকিৎসার দরকার।,"['Shaming', 'Warning-of-Consequences']",Hate
726,A1HFJSETMNC7BF,আরে পতিতা তোর এডিটের গুষ্টির মায়রে চুদি,আপনি যদি এই নোংরা মন্তব্যগুলি বন্ধ না করেন তবে আপনাকে শীঘ্রই ব্লক করা হবে।,['Warning-of-Consequences'],Offensive
344,A1HFJSETMNC7BF,ওরে আমার ফুটফুটে খানকি এলো রে। 😂 😂 😂 😂,আপনি গালি দিয়ে কি পেলেন? মুখের ভাষা ঠিক করুন।,['Shaming'],Offensive
1292858623995985927,A1HFJSETMNC7BF,"@fokhrulhasan228 জালিমদের উপর একের পর এক গজব আসবে, ইনশাআল্লাহ....  নিকৃষ্ট জাতি মালাউন, মসজিদের স্থানে রাম মন্দির গড়ার স্বপ্ন দেখ নেই ঠ্যালা এখন..!","মানুষ খারাপ হতে পারে, নিকৃষ্ট হতে পারে, কোন জাতি বা ধর্ম নিকৃষ্ট নয়। আমরা যে ধর্মেরই হই না কেন আমাদের সকলকে একসাথে মিলেমিশে বসবাস করা উচিত।","['Affliation', 'Empathy']",Hate
166,A1HFJSETMNC7BF,খানকি দের আবার রমজানানের শুভেচ্ছা কেন তোদের লেংটা ছবি দিয়ে অন্য কিছুর শুভেচ্ছা দেওয়া দরকার,অকারনে গালাগালি দেওয়ার কি কোনও যুক্তি আছে বলুন? একটু ভেবে দেখবেন।,['Empathy'],Offensive
685,A1HFJSETMNC7BF,साले रंडी की औलाद चुप हो जा तेरे मुंह में pig देंगे,"किसी की माँ का अपमान मत करो। आपकी माँ आपके बारे में क्या सोचेगी, अगर वह देखेगी कि आप दूसरे की माँ का अपमान कर रहे हैं?",['Empathy'],Hate
344,A1HFJSETMNC7BF,अरे अपनी मां बहनों और बीवी को धंधा कराना है शौक से कराओ हमें कोई प्रॉब्लम नहीं है अपने घर में कोई करो हमें कोई प्रॉब्लम नहीं क्योंकि हमें मालूम है कि किसी रंडी की पैदाइश के हो तुम तुम्हारे मां बाप का तो पता नहीं और आज के बाद अल्लाह पाक का नाम तमीज से लेना वरना तुम्हारी मां चोद ,"किसी की माँ, बहन के बारे में गाली मत दो। तुम एक महिला की संतान हो। कृपया महिलाओं का सम्मान करना सीखें।",['Empathy'],Hate
656,A9J41F0FTR2R7,   @urmi200  রাইট!  টাকা হলে তোমাদের মতো হাজারো মেয়ে ব্যবহার করে টিস্যু পেপার মতো পেলে দেয়!,"আপনি ভুল করছেন, মানুষ চিরকাল সুযোগ সন্ধানী। সুযোগ পেয়ে কেউই কাউকে ছাড়েনা।",['Shaming'],Hate
1258274889053671424,A1HFJSETMNC7BF,"@SakibulHoque8 কুত্তার বাচ্চা বাংলাদেশি নাজায়েজ মাল,  তোর আম্মু রে পাকিস্তানী সেনারা চুদ ছিলো, মনে আছে?  মাদারচোদ কাংলাদেশ... থু...",নিজের মাথা ঠাণ্ডা করুন। আপনি অজথাই  মহিলাদের এবং   বাংলাদেশীদের অপমান করছেন।,"['Empathy', 'Shaming']",Hate
1344117024297951232,ARK4WBXJISCNB,"@Lecturershweta1 तुम जितना भी राम कृष्ण का बिरोध कर लो हम हिन्दू सनातन धर्म को आंच नहीं आने देंगे, ऐसा कोई हिन्दू लिख सकता गलत आईडी बनाके तुम जेसे रंडी लड़ाना चाहती है जो कतई नहीं होने देंगे",इस मंच पर नफरत मत फैलाओ। मैं खुद को लगातार सोचता हुआ पाता हूं कि भविष्य क्या लाएगा। मुझे यकीन नहीं है कि मैं डरा हुआ हूं कि आगे क्या हो रहा है। हमें दूसरों के प्रति दयालु और सम्मानजनक होना चाहिए। आपका दिन शानदार रहे।,"['Empathy', 'Warning-of-Consequences']",Hate
1315485969571704832,A1K5CHKFJJ7IF8,<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> ये रंडी के औलाद हमारी गाड़ मार के हिंदू को बांटने की काम किया,अगर कोई हिन्दू को बाटने का कार्य कर रहा है तो उसके लिए सजा का गुजारिश तथा जनता में जागरूकता फैलाये। पर यह कदम सोच समझकर होना चाहिए क्युकी भारत में जाती के नाम पर दंगा जल्दी बढ़ता है। अतः आपको भी सोच विचार से सही शब्दों से बात को रखने की जरुरत है।,['Warning-of-Consequences'],Hate
871,A1HFJSETMNC7BF,পতিতালয় বন্ধ হওয়াতে পতিতা গুলা এদিকে ওদিকে চিটিয়ে চাটিয়ে পডছে...আপনারা সবাই সাবধানে তাকবেন সুযোগ পেলে টুইটারেও কাজ করিয়ে পেলতে পারে.....,"আমি জানিনা আপনি কাদের পতিতা বলে ইঙ্গিত করছেন, তবে এটাই বলবো সব মানুষকে সম্মান দিন এবং সহানুভুতির সাথে কথা বলুন।",['Empathy'],Offensive
406,A1HFJSETMNC7BF,"@Sultanamahmud88   and   @Mustafa09798462  আজহারী তোরে দিয়ে দেহ ব্যাবসা করতো, খানকি কোথায়, এই শুয়োরের বাচ্চা একটা মুনাফিক, আর তুই হইলি খানকির ঘরের খানকি,",আপনি মহিলাকে কুমন্তব্য করা বন্ধ করুন। এতো গালাগালি দিচ্ছেন কাকে? মুখের ভাষা ঠিক করুন।,['Shaming'],Offensive
1360266234906828802,A3D81Z9GMEKTJQ,<user> ऐसा इसलिए कि हिंदू अब नपुंसक हो चुका हैं। गांधी का अहिंसा का लॉलीपॉप चूस चूस कर। और रंडीबाज चाचा को अपना बाप बना लिया था इसी हिंदू ने जब देश आजाद हुआ था। कोई जिम्मेदार नही खुद हिंदू जिम्मेदार है अपनी स्थिति के लिए।  अब भी समय हैं हिंदुओ अपने अंदर के शंकर को जगाओ ।,आप अपने हिंदू भाइयों को अभद्र टिप्पणियों का उपयोग करके अपमान नहीं करना चाहिए। हिंदू भी कांग्रेस का अनुसरण कर सकते हैं और मैं आपसे अनुरोध करता हूं कि आप उनकी राय का सम्मान करें और कृपया अपमानजनक गाली देने से बचें।,['Shaming'],Hate
458,A9J41F0FTR2R7,"তোর মা এক নম্বর খা-ন-কি,কুকুরের বাচ্চা,এমনি কি তোদের কুত্তালীগ বলে,",আপনি হাইফেন দিয়ে লিখলেও ওটা গালিই থাকবে। কারোর মা কে গালি দিয়ে আপনি খুব একটা ভালো কাজ করলেন না।,['Shaming'],Hate
449,A9J41F0FTR2R7,এতো ভালো মানুষ করোনায় মৃত্যু বরণ করে তোর মতো খানকি কে আল্লাহ করোনা দেয়না কেন,আপনি ওই মহিলাকে গালিগালাজ করছেন । আবার তার অসুস্থতা কামনা করেছেন। তাতেও আপনার মন ভরে না । মৃত্যু কামনা করেছেন।,['Shaming'],Hate
909,A1HFJSETMNC7BF,এই পতিতা গুলো হলো সরকারে পা চাটা কুকুর তাই যা ইচ্ছা বলতে পারে,আপনি সরকার বিরোধী? ওই মহিলাদের আপনি গালিগালাজও করছেন। আপনি তারমানে এবার ঝগড়া বিবাদ সৃষ্টি করতে চান।,"['Shaming', 'Warning-of-Consequences']",Offensive
1308983741184909320,A1K5CHKFJJ7IF8,"यह 'लेखिका' टैगधारी रंडी है।लेखिका तो स्वस्थ विचारों की वाहक होती है।इसे सम्मान देना उसी प्रकार की ग़लती है,जैसी बालीवुड के मामले में कर के जनमानस पछता रहा है।मेघना 'मास रेप'deserve करती है या फिर गौरी लंकेश जैसा अंजाम।हिंदू जो सेवा कर सके, वो करे।वेश्या-प्रलाप साहित्य नहीं होता। <url>",लेखिका तो स्वस्थ विचारों की वाहक होती है तो फिर आपकी लेखनी में इतने अपशब्द क्यों है ?,['Shaming'],Hate
103,A1HFJSETMNC7BF,দেশি কলেজের খানকি মাগি...।,"বন্ধু, এই ধরনের অপ্রাসঙ্গিক পোস্ট না দিয়ে সমাজের জন্য ভালো কিছু করার চেষ্টা করুন ।",['Empathy'],Offensive
194,A1HFJSETMNC7BF,"@taslimanasreen  তোর নামটা যদি মুসলিমদের সঙ্গে জড়িয়ে না থাকত, তাহলে তুই আর এস এস সঙ্গে জড়িত হতিস শুধু তাই নয় পর্নস্টার মধ্যে অন্তর্গত হত।ক্রিকেটার মোইন আলি সম্বন্ধে তোর কোন জ্ঞান নেই খানকি।  তোর লাস মিশরের ফেরাঊনের পাশে দেখতে চাই।  তোর দেখার জন্য মিশরে যাব......।","আপনি কোনো ক্রিকেটার কে পছন্দ করেন ভালো কথা। কিন্তু কেউ যদি তাঁর বিপক্ষে কথা বলে, ক্রিকেটারের কোনো ক্ষতি হবে না। তাই কারোর ধর্ম বিচার বিবেচনা নিয়ে তাকে উত্ত্যক্ত না করে, তাঁকে তার মতো ছেড়ে দিন। তার মৃত্যু কামনা আপনার মনে শান্তি আনবে না।",['Empathy'],Hate
556,A1HFJSETMNC7BF,"এই খানকি মাগী, বেইশ্যা মাগী, বোধা কালা বুস্কি মাগী,,,, অনলাইনের সেরা মাগী তরে দিনে কয়জনে চোদে,? কয়জনে বোধা চাঁটে, কয়জনে দুধের মাথা নাঁড়ে, কোন পোলার ধন কত বড়, কোন পোলার তোর বোধায় কতটুকু পানি ঢালছে সব লিখে মানুষকে দেখা তুই যে অরিজিনাল মাগী সেটার প্রমান দে।",কে কি প্রমাণ দেবে সেটা পরের কথা। আপনি যে একজন জঘন্য মানসিকতার মানুষ তার প্রমান আপনি দিয়ে দিয়েছেন। আপনার মনবিত্তি এত নিচু আর ছোট সেটা আপনার ভাষায় প্রকাশ পাচ্ছে। ছি ছি ছি ছি!,"['Hypocrisy', 'Shaming']",Offensive
271,A1HFJSETMNC7BF,খানকি মাগি ডাইনি হাছিনা,গালিগালাজ বন্ধ করুন।,['Shaming'],Offensive
596,A1HFJSETMNC7BF,"নারীকে Respect করি,but তোর মত খানকি কে নয়...",সেটা আপনার ব্যাপার কিন্তু প্রকাশ্যে গালিগালাজ না করাই শ্রেয়। এইভাবে বিবাদ সৃষ্টি হয়।,"['Shaming', 'Warning-of-Consequences']",Offensive
1247011304679698433,A1K5CHKFJJ7IF8,<user> अलका कि भाषा से प्रतीत होता हे अलका लाम्बा मुस्लीम जिहादीयो की रखेल हे ।वेसे भी अमानतुल्ला  ओर केजरीवाल का अलका साथ रंग रलीयो का जी भर गया तो अलका ने काँग्रेस का बिस्तर पसंद कर लीया रंडी का काम ही यही हे,कोई भी कभी भी अपने परिस्थितियों के हिसाब से दल बदल सकता है। सब को सविधान के अनुसार समानता और स्वत्रंता है।,['Empathy'],Hate
251,A1HFJSETMNC7BF,আমার কাছে আয় আমি তোর চোখ আর পেন্টির ভিতর রস সহ বাহির করে দিব খানকি!!,আপনার মানসিকতা জঘন্য। মহিলাদের সম্মান দিতে শুরু করুন।,"['Hypocrisy', 'Shaming']",Offensive
1331260333663547392,ARK4WBXJISCNB,"@khanumarfa आज तो तुझे नींद भी नहीं आएगी। और रो रंडी रोना, कुछ फर्क नहीं पड़ता मोदी व योगी जी को। ज्यादा दिक्कत है तो चले जाओ बांग्लादेश पाकिस्तान धर्म के नाम पर बने हैं भारत से अलग होकर।
#भारत_माँगे_हिन्दू_राष्ट्र","सर, अगर हमें भारत छोड़ने के लिए कहा जाए तो क्या होगा अगर हम सहमत नहीं हैं कि यह एक धर्मनिरपेक्ष देश है? क्या आप तब जा रहे होंगे? संविधान के खिलाफ विश्वास के कारण लोगों को अपना देश छोड़ने के लिए कहना दिल दहला देने वाला है।","['Humour', 'Hypocrisy', 'Warning-of-Consequences']",Hate
51,A1HFJSETMNC7BF,প্লেয়ারস কিন বান্দির বাচ্চারা! তোগো মা-বইন রে বেইচা সোশ্যাল মিডিয়া  ইম্প্যাক্ট মারাইস খানকি ছানার দল!!     #GlazersOutWoodwardOut,মাথা ঠাণ্ডা রাখুন। কি বলতে কি বলে ফেলেছেন ভেবে দেখুন। যুবসমাজের কাছে খারাপ বার্তা পৌঁছাবে।,"['Empathy', 'Warning-of-Consequences']",Offensive
1304793097356836865,A1HFJSETMNC7BF,@Zee24Ghanta যখনই এই রকম খবর আসে তখন এই কাংলু গুলো কোথা থেকে চলে আসে।,"সোশ্যাল মিডিয়া এমন একটি জায়গা, যেখানে প্রত্যেকে তাদের মতামত রাখতে পারে, তবে এটি শালীন হতে হবে। কিন্তু আপনার পোস্ট অশ্লীল। দয়া করে এটি সঠিক করুন।",['Shaming'],Hate
653,A9J41F0FTR2R7,দেশের শত্রু....হিন্দু জাতির শত্রু...কেন্দ্রীয় বাহিনীর শত্রু উগ্রবাদী  সন্ত্রাসী এই মহিলাকে দেশের স্বার্থে জাতির বৃহত্তর স্বার্থে গ্রেফতার করা হউক। তার চেলা চামুন্ডারা লাফালাফি করলে মহৌষধ প্রয়োগ করা হউক। গনতন্ত্রের লায়েক সে নয়।,"আপনি মহিলাকে উত্ত্যক্ত না করে যে সমস্ত অভিযোগ এনেছেন, তা প্রমান করুন। তাহলেই আপনার মনকামনা পূর্ন হবে।",['Warning-of-Consequences'],Hate
1322192744555556864,A1K5CHKFJJ7IF8,<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> भाई साहब हमारी मीडिया रंडी साले जो हिंदू प्रेस है वह भी गांड मरवा आएंगे भोसड़ी वाले कुछ नहीं बस अब हिंदुओं को एक होना होगा,मानते है की परिस्थितिया अनुकूल नहीं है पर एक परिस्तिथि से फाइनल निर्णय ना करे।,['Affliation'],Hate
1319220699236429828,A1DVIFCAZGUR0N,"@ErosNow अरे रण्डी के औलाद सालो कुछ भी पोस्टर बनाते हो मादरचोद।तुमलोग के गांड में बम्बू डालके छोड़ देंगे।मादरचोद बॉलीवुड वाले सब हिन्दुओ के पीछे पड़े हो।एक बात याद रखना जिस दिन हिन्दू भड़क गए तो तुम्हारी अम्मी और बहनों को घर मे घुस के लेंगे।।
#BoycottErosNow #BoycottBollywood https://t.co/KzAZtCjOJR","पहले बॉलीवुड वालों की निंदा करते हो की वह हिन्दू लोगों को निशाने पे ले रहे हैं, और फिर खुद ही ऐसे भड़काऊ विचार रख रहे हो जिससे हिन्दू लोग भड़क जाएं, अपनी बात पे थोड़ा तो कायम रहो।",['Hypocrisy'],Normal
1214483364142448640,A1HFJSETMNC7BF,"#প্রমীলা_বর্মন নামে এক #হিন্দু_মেয়েকে দক্ষিণ দিনাজপুর জেলার কুমারগঞ্জে ধর্ষণ করে গলাকেঁটে পেট্রোল দিয়ে পুড়িয়ে মারা অভিযুক্তের নাম নর পিচাশ #মোহাবুর_মিঞা, বাবার নাম জাফিল মিঞা, এই পশু গুলো নাকি সংখ্যা লঘু!!!  এদের এত সাহস হয়কিকরে??  @user @user https://t.co/UPlY58VS5X","আমি বুঝতে পারছি এটি খুবই খারাপ বিষয়, আমাদের এই নিয়ে প্রতিবাদ করা উচিত। কিন্ত আমার মনে হয় আমাদের আর মধ্যে জাত-পাত না টেনে আনাই ভালো। মানুসেরা খারাপ হয়, কোনো জাতি নয়।","['Affliation', 'Empathy']",Hate
1244867079552905216,A11W0WTHM4U2G0,"<user> किसी टॉप की रंडी की औलाद ,  वो तब्लीगी जमात थी, सुन्नी मुस्लिम, धर्म परिवर्तक,,  अभी समझ न आई हो, तो तू सिर्फ रंडी की औलाद नहीं,बल्कि किसी रण्डी का खसम भी तो है, उससे पूछ लेना,,",किसी औरत के बारे में ऐसे बात करना हमारी संस्कृति का हिस्सा नहीं है ।,['Empathy'],Hate
1356601753349754882,A3D81Z9GMEKTJQ,<user> <user> <user> काहे का आचार्य है यह दो कौड़ी का म****** सूअर की औलाद रंडी का बच्चा फर्जी हिंदू है यह प्रमोद कृष्णन,आपकी पोस्ट अत्यधिक अपमानजनक हैं। मैं आपसे विनम्र निवेदन करता हूं कि शांत हो जाएं और लोगों को जवाब देते समय अधिक सम्मानजनक बनें।,['Empathy'],Offensive
352,A9J41F0FTR2R7,খানকি এতো কিছু ঘটার পর ভালো হয়ে চলতে পারিস না তোর থেকে পতিতা ভালো,আপনি আগে নিজের ভাষা ভালো করুন। উক্ত মহিলাকে গালিগালাজ করে আবার তার তুলনা করে নীচে নামাতে চাইছেন।,['Shaming'],Hate
1351009775417483265,A1DVIFCAZGUR0N,"तांडव के सभी कलाकारों और निर्माताओं का गर्दन काटो भोसड़ी वालों का।
हिन्दू धर्म का जो मजाक बनाये उसकी अम्मी चुदी जानी चाहिए चाहे वह कोई भी हो।
#रंडीखाना_Ban","अरे भाई थोड़ी तो समझदारी दिखाओ, वह सिर्फ एक चलचित्र है और पूर्णतः काल्पनिक है, उसके कलाकार और निर्देशक भी अपना काम कर रहे हैं, उसको दिल पे मत लो और ऐसी अफवाएं मत फैलाओ।",['Empathy'],Normal
1317656765220073473,A3D81Z9GMEKTJQ,<user> <user> <user> <user> अबे रंडी के किस हिंदू ने तेरे बीबी चोदी ? इतना क्यूँ गांड फूला रहा है । तूझे तो सरीया चाहिए मादरचोद और कुछ नही । 😡😡😡 साला मादरचोद हिंदू पी एम तुझे कैसे लगेगा? मादरचोद तुझे तो पप्पू खान चाहिए । 😡😡😡,क्या आप इस तरह के आपत्तिजनक अपशब्दों का इस्तेमाल किए बिना उसे जवाब नहीं दे सकते? वह सिर्फ अपनी राय रख रहे हैं और कृपया जवाब देते समय सभी की भावनाओं का ध्यान रखें।,['Shaming'],Hate
1276324541099175936,A1K5CHKFJJ7IF8,"""#Tik_Tok"" बनाने वाली #मुस्लिम_लड़कियों #बुर्का_उतार कर बनाओ😐 ये बुर्का इस्लाम की #शहजादियों के लिए है तुम जैसी ""#रंडीयो""  के लिए नहीं 🙏शर्म करो 🙏",अगर कोई टिक-टोक पर विडिओ बना रही है तो वह रंडी नहीं है वह बस अपने मन-पसंद का काम कर रही है। अगर उसके काम में गलत चिजे है तो बोलो नहीं तो चुप रह कर लोगो में शांति बनाये रखे।,['Shaming'],Hate
812,A1HFJSETMNC7BF,পতিতালয়ে জন্ম নেওয়া বেজন্মা গুলা পতিতা সম্বন্ধে ভালো জানে।,কারোর জন্ম নিয়ে নোংরা আলোচনা না করাই শ্রেয়। আপনি কাউকে অপমান করতে গিয়ে নিজের নোংরা মানসিকতার পরিচয় দিয়ে ফেলছেন।,"['Hypocrisy', 'Shaming']",Offensive
441,A1HFJSETMNC7BF,তোকে পশ্চিম বঙ্গে থাকতে দেওয়া   হয়েছে এটা তোর বাপে সৌভাগ্য  বেশি   বারাবারি করলে গাঁড়ে চার লাথি মেরে   বাংলাদেশ ফেলেদিয়ে আসবো খানকি   মাগী,আপনি কি করে জানালেন যে ওই মহিলা বাংলাদেশ থেকে পশ্চিমবঙ্গে এসেছেন। তাই গালি দিয়ে কাউকে কিছু অবান্তর বলার আগে ভেবে চিন্তে বলবেন।,"['Empathy', 'Shaming']",Offensive
1330011475839053824,A3D81Z9GMEKTJQ,ये हरामजादे ढोन्ग्रेसी कुत्तो की हिन्दु विरोधी मानसिकता देखो...लवजिहाद के खिलाफ बनने वाले कानुन का विरोध करते है..ईसका मतलब ये हुवा की हिन्दु लडकीयो को वेश्यापुत्र ईस्लामीक कुत्ते बरबाद करे एसा ये ढोन्ग्रेसी हरामजादे चाहते है....एसे ढोन्ग्रेसी कुत्ते <url>,"मुझे लगता है कि हर किसी को उन कानूनों के खिलाफ विरोध करने का अधिकार है जो उन्हें अनैतिक या कठोर लगते हैं। मेरा सुझाव है कि आप अपमानजनक गालियों वाले लोगों को निशाना बनाने से बचें, जिनका रुख आपके साथ नहीं है।",['Shaming'],Hate
1351009775417483265,A1DVIFCAZGUR0N,"तांडव के सभी कलाकारों और निर्माताओं का गर्दन काटो भोसड़ी वालों का।
हिन्दू धर्म का जो मजाक बनाये उसकी अम्मी चुदी जानी चाहिए चाहे वह कोई भी हो।
#रंडीखाना_Ban","ऐसे कमैंट्स से आप सिर्फ खुलेआम बुलावा दे रहे हैं की आपको हिन्दू वर्ग के अलावा सभी लोग आकर मारें, कृपया यह पोस्ट डिलीट करें और अपनी जान बचाएं।",['Warning-of-Consequences'],Normal
3707,ARK4WBXJISCNB,@HansrajMeena साले तुम होते कोन हो भारत बंद करने वाले ये भारत तुम्हारे बाप की जागीर नहीं है।,हम सभी के लिए एक साथ बढ़ना महत्वपूर्ण है और हमें इसका समर्थन करना चाहिए। भारत सबका है। उन्हें विरोध करने का अधिकार है और हमें आग में घी नहीं डालना चाहिए।,"['Hypocrisy', 'Shaming']",Hate
713,A9J41F0FTR2R7,৭১ মানেই সস্তা পতিতা আর জানোয়ার কুকুরদের বীর্যরোহন কারখানা 😡,আপনি সহজ ভাবেও মনোভাব প্রকাশ করতে পারতেন তাহলে সেটা বোধগম্য হত কিন্তু আপনি যা ভাষা ব্যবহার করেছেন তাতে কিছুই বোঝা যাচ্ছে না।,['Humour'],Hate
238,A1HFJSETMNC7BF,"লজ্জা করে না, ভাতার নিয়ে কর, ছেলের সাথে ভিডিও করতে করতে আবার সেক্স ভিডিও বানায় ফেলিস না",একজন মা তার সন্তানের সাথে ভিডিও বানালে এতেও কি নোংরামি খোজার কোনো দরকার আছে? ভালো  করে ভেবে দেখবেন। শুভ সন্ধ্যা।,['Empathy'],Offensive
965,A9J41F0FTR2R7,রোজা রমজানের দিনের বেলায় তোর বাড়ি যামু  না তোর বোন কে বলিস রাতে রেডি থাকতে রাম ঠাপ দিয়ে আসবো নে,আপনার নোংরা ভাষা ও মন্তব্য সোশ্যাল মিডিয়া দূষিত করছে। আপনার মনবিত্তি ও মানসিকতা খুবই জঘন্য।,['Shaming'],Hate
576,A9J41F0FTR2R7,তোদের মত খানকি মাগিরা পাকিস্তান গিয়ে পুটকি মারাস না কেন।।,নিজের মুখের ভাষা ঠিক করে কথা বলুন। আপনি এমন গালিগালাজ করে কথা বলতে পারেন না।,['Shaming'],Hate
477,A1HFJSETMNC7BF,খানকি মাগি গুলো ফেসবুক ছাইড়া টুইটারের ভাত মারতে আইছে🔥,"সোশ্যাল মিডিয়ায় কে আসবে , কে আসবে না, আপনি ঠিক করে দেবেন না। আর আপনিই তো টুইটার এ গালিগালাজ করছেন।",['Shaming'],Hate
941,A9J41F0FTR2R7,"বেশ্যাও তর চেয়ে ভালো হয়,তুই তো নাম্বার বিহীন পতিতা নানাই,",মহিলাদের গালিগালাজ করা বন্ধ করুন। নিজের মানসিকতা শোধরানোর চেষ্টা করুন। ভদ্র হন।,['Shaming'],Hate
383,A1DVIFCAZGUR0N,चीनियों को ऐसी भारतीय इलीट फोर्स का सामना करना पड़ा जिसे अब तक चीनियों ने देखा ही नही था  ना ही चीनियों को कोई जानकारी ही थी अभी लड़ाई के समय ऐसी फोर्स निकलेगी जो सीधा बीजिंग में नजर आएगी..!!,"हमे कभी भी अपने दुश्मन को काम नहीं समझना चाहिए, हो सकता है की हमारी ऐसी फ़ौज को भी शिकस्त मिल जाए, हमे बस ऐसी परिस्थितियों में उनका साथ देना चाहिए।",['Warning-of-Consequences'],Normal
243,A1HFJSETMNC7BF,প্রবাসীরা তোকে চুদছেনে এই খানকি মাগি?,আপনার কি? আপনি ঘরে বসে কোনো মহিলাকে অভব্য গালিগালাজ করছেন কি জন্য?,['Shaming'],Offensive
