ids,annotatorId,texts,counterSpeechs,counterSpeechTypes,textTypes,hatespeech_trans,counterspeech_trans,hatespeech_transBack,counterspeech_transBack
208,A9J41F0FTR2R7,আমরা চোদনে expart ! আমি কেমন চুদি তোর মাকে জিঞ্জাসা কর রে বেতো খানকি 😂,আপনি কিসে এক্সপার্ট কেউ জানতে চাইনি। অভদ্র মন্তব্য বন্ধ করুন।,['Shaming'],Hate,"हम निर्यात कर रहे हैं! मैं तुम्हारी माँ को कैसे चोदता हूँ, रे बेटो खांकी",आप किसी को नहीं जानते थे कि कौन सा विशेषज्ञ। असभ्य टिप्पणियों को रोकें।,"আমরা রফতানি করছি! আমি কীভাবে তোমার মাকে চুদব, পুনরায় বেটো লেজ",আপনি কোন বিশেষজ্ঞ জানেন না। অভদ্র মন্তব্য বন্ধ করুন।
208,A9J41F0FTR2R7,আমরা চোদনে expart ! আমি কেমন চুদি তোর মাকে জিঞ্জাসা কর রে বেতো খানকি 😂,আপনি উক্ত ব্যক্তি কে তার মা নিয়ে কুরুচিকর শব্দ ব্যবহার করছেন কেউ এই অপমান যদি আপনাকে নিয়ে করতো আপনার কি ভালো লাগতো? একটু ভেবে দেখবেন তাহলে আর এইধরণের মন্তব্য করতে পারবেন না আশা করি।,['Shaming'],Hate,"हम निर्यात कर रहे हैं! मैं तुम्हारी माँ को कैसे चोदता हूँ, रे बेटो खांकी","यदि आप अपनी माँ के साथ व्यक्ति के बारे में बदसूरत शब्द का उपयोग कर रहे हैं, अगर कोई भी आपका अपमान करता था, तो क्या आप इसे पसंद करेंगे? यदि आप थोड़ा सोचते हैं, तो आप अब टिप्पणी नहीं कर पाएंगे।","আমরা রফতানি করছি! আমি কীভাবে তোমার মাকে চুদব, পুনরায় বেটো লেজ","আপনি যদি আপনার মায়ের সাথে কোনও ব্যক্তির সম্পর্কে কুৎসিত শব্দটি ব্যবহার করছেন, যদি কেউ আপনাকে অপমান করে তবে আপনি কি এটি পছন্দ করবেন? আপনি যদি কিছুটা ভাবেন তবে আপনি আর মন্তব্য করতে পারবেন না।"
209,A1HFJSETMNC7BF,"কেনরে খানকি মাগীর পুলা, চোখ কী পুটকির ভিতর ঢুকাই রাখছোস??? নাকি পর্ণ দেখতে দেখতে চোখ নষ্ট কইরা ফেলছোস???😑😑","গালিগালাজ না করে, কথাটার মানে এই দাঁড়ায়, "" চোখে দেখতে পাওনা?"" এইটুকু কথা। এত নোংরামি।","['Humour', 'Shaming']",Offensive,"कनकी मैगी पुला, आँखें आँखें अंदर रख रही हैं ??? या आप अश्लील देखने के लिए अपनी आँखें बर्बाद करते हैं ???","अपमानजनक होने के बिना, शब्द का अर्थ है, ""क्या आप आँखें नहीं देख सकते?"" बस इतना ही तो गंदी।","কানাকি ম্যাগি পুলা, চোখ চোখ ভিতরে রাখছে ??? নাকি পর্ন দেখতে চোখ নষ্ট করবেন ???","অবমাননাকর না হয়ে শব্দটির অর্থ, ""আপনি কি চোখ দেখতে পাচ্ছেন না?"" এটাই সব নোংরা।"
209,A1HFJSETMNC7BF,"কেনরে খানকি মাগীর পুলা, চোখ কী পুটকির ভিতর ঢুকাই রাখছোস??? নাকি পর্ণ দেখতে দেখতে চোখ নষ্ট কইরা ফেলছোস???😑😑",এই মন্তব্য করে কি জীবনে কিছু অর্জন করতে পারলেন? বরং এই রকম পোস্টের জন্য ঝগড়া বিবাদ বাড়তে থাকবে।,['Warning-of-Consequences'],Offensive,"कनकी मैगी पुला, आँखें आँखें अंदर रख रही हैं ??? या आप अश्लील देखने के लिए अपनी आँखें बर्बाद करते हैं ???","क्या आप यह टिप्पणी करके जीवन में कुछ भी हासिल कर सकते हैं? बल्कि, इस तरह के पदों के लिए विवाद में वृद्धि जारी रहेगी।","কানাকি ম্যাগি পুলা, চোখ চোখ ভিতরে রাখছে ??? নাকি পর্ন দেখতে চোখ নষ্ট করবেন ???",আপনি মন্তব্য করে জীবনে কিছু অর্জন করতে পারেন? বরং এই জাতীয় পদগুলির বিরোধ বাড়তে থাকবে।
2,A1HFJSETMNC7BF,এটা বাংলাদেশেই সম্ভব !( যে দেশকে Dictionary তে পৃথিবীর শ্রেষ্ট অসভ্য দেশ বলে),"যেকোনো দেশ কেই অসভ্য বলা বন্ধ করুন, আজে বাজে কথা বললে লোকে আপনাকেই অসভ্য বলবে।",['Warning-of-Consequences'],Hate,यह बांग्लादेश में संभव है!,"किसी भी देश में किसी को भी कहना बंद करो, अगर आप आज बुरी बातें कहते हैं, तो लोग आपको असभ्य कहेंगे।",এটি বাংলাদেশে সম্ভব!,"যে কোনও দেশের কাউকে বলা বন্ধ করুন, আপনি যদি আজ খারাপ কথা বলেন তবে লোকেরা আপনাকে অভদ্র বলবে।"
2,A1HFJSETMNC7BF,এটা বাংলাদেশেই সম্ভব !( যে দেশকে Dictionary তে পৃথিবীর শ্রেষ্ট অসভ্য দেশ বলে),"বাংলাদেশ একটু সুন্দর দেশ। চারিপাশে সবুজ ধান খেত, মিষ্টি ভাষী মানুষ। আপনি গিয়ে ঘুরে আসবেন, আপনার মতামত তখন পালটে যাবে।",['Empathy'],Hate,यह बांग्लादेश में संभव है!,"बांग्लादेश एक सुंदर देश है। चारों ओर हरे धान के खेत, मीठे लोग। आप जाकर घूमेंगे, आपकी राय तब बदल जाएगी।",এটি বাংলাদেশে সম্ভব!,"বাংলাদেশ একটি সুন্দর দেশ। চারদিকে সবুজ ধানের মাঠ, মিষ্টি লোকেরা। আপনি গিয়ে ঘুরবেন, আপনার মতামত তখন পরিবর্তন হবে।"
3,A9J41F0FTR2R7,"সারা পৃথিবীতে মুসলিম রা মার খাচ্ছে কেন? এমনকি নিজদেশেও নিজেরা নিজেরাই মারামারি করে মরছে,এর কারন কি জানেন? মুসলিমরা আতংবাদী",কিছু মুসলিমরা আতংবাদী বলেই যে আপনি সবাই কেই আতংবাদী বলবেন এটা ঠিক নয়।,['Empathy'],Hate,"दुनिया भर में मुस्लिम क्यों पिटाई कर रहा है? यहां तक ​​कि अपने देश में, वे खुद से मर रहे हैं, क्या आप इसका कारण जानते हैं? मुसलमान",कुछ मुसलमानों के लिए यह कहना सही नहीं है कि आप सभी कहेंगे कि आप सभी थाइमैटिक हैं।,"মুসলিম কেন সারা বিশ্ব জুড়ে মারছে? এমনকি তাদের দেশেও তারা নিজেরাই মারা যাচ্ছে, আপনি কি এর কারণ জানেন? মুসলিম",কিছু মুসলমানের পক্ষে বলা ঠিক নয় যে আপনারা সকলেই বলবেন যে আপনি সবাই থাইমেটিক।
3,A9J41F0FTR2R7,"সারা পৃথিবীতে মুসলিম রা মার খাচ্ছে কেন? এমনকি নিজদেশেও নিজেরা নিজেরাই মারামারি করে মরছে,এর কারন কি জানেন? মুসলিমরা আতংবাদী","আপনি এটা ভুল বললেন মুসলিমরা কেনো পৃথিবীর যে কোনো ধর্মের মানুষ অন্য ধর্ম দ্বারা অপমানিত হলে তারা তাদের সন্মান রক্ষার্থে  রাগ প্রকাশ করে,কিন্তু কোন ধর্ম কি ভাবে তা প্রকাশ করে তার উপর নির্ভর করে খারাপ বা ভালোর বিচার,কেউ বুদ্ধিমানের সাথে ঠান্ডা যুদ্ধ করে কেউ আক্রোশ এর সাথে।সেখানেও দেখবেন কেউ হয়ত মারপিট ও করেছে তাই সেটা কিছু মানুষ দের উপর নির্ভর করে কোনো জাতি বা গোষ্ঠীর উপর না।",['Shaming'],Hate,"दुनिया भर में मुस्लिम क्यों पिटाई कर रहा है? यहां तक ​​कि अपने देश में, वे खुद से मर रहे हैं, क्या आप इसका कारण जानते हैं? मुसलमान","आपने यह गलत कहा कि क्यों पृथ्वी पर किसी भी धर्म के लोगों को अन्य धर्मों से अपमानित किया जाता है, वे अपने सम्मान की रक्षा के लिए अपना सम्मान व्यक्त करते हैं, लेकिन वे इस बात पर निर्भर करते हैं कि कोई धर्म इसे कैसे व्यक्त करता है, बुरा या अच्छा निर्णय, कुछ बुद्धिमानी से किसी ऐसे व्यक्ति के साथ लड़ रहे हैं जो बुद्धिमान है। इसके अलावा, आप यह भी देखेंगे कि किसी ने हराया और किया हो सकता है, इसलिए यह किसी भी दौड़ या समूह पर कुछ लोगों पर निर्भर नहीं करता है।","মুসলিম কেন সারা বিশ্ব জুড়ে মারছে? এমনকি তাদের দেশেও তারা নিজেরাই মারা যাচ্ছে, আপনি কি এর কারণ জানেন? মুসলিম","আপনি ভুল বলেছিলেন যে পৃথিবীর যে কোনও ধর্মের মানুষ কেন অন্য ধর্ম দ্বারা অপমানিত হয়, তারা তাদের সম্মান রক্ষার জন্য তাদের সম্মান প্রকাশ করে, তবে তারা নির্ভর করে যে কোনও ধর্ম কীভাবে এটি প্রকাশ করে। খারাপ বা ভাল সিদ্ধান্ত, কিছু বুদ্ধিমান লড়াই, যা বুদ্ধিমান । এছাড়াও, আপনি আরও দেখতে পাবেন যে কেউ পরাজিত এবং সম্পন্ন হতে পারে, তাই এটি কোনও জাতি বা গোষ্ঠীর কিছু লোকের উপর নির্ভর করে না।"
211,A1HFJSETMNC7BF,তুরা হলি জারজের বাচ্চা তোমরা খানকি শেখ হাসিনার পা চাটা গোলাম,আপনি একটা দেশের প্রধানমন্ত্রী কে উদ্দেশ্য করে কটূক্তি করছেন। ভবিষ্যতে সাবধান।,['Shaming'],Offensive,तुरा होली ज़र्ज़ का बच्चा आप खंकी शेख हसीना के पैर चाटने वाले दास हैं,आप किसी देश के प्रधानमंत्री के बारे में मजाक कर रहे हैं। भविष्य में सावधान रहें।,তুরা হোলি জারসার সন্তান হ'ল খাকি শেখ হাসিনার পায়ে দাস,আপনি একটি দেশের প্রধানমন্ত্রী সম্পর্কে রসিকতা করছেন। ভবিষ্যতে সাবধান হন।
211,A1HFJSETMNC7BF,তুরা হলি জারজের বাচ্চা তোমরা খানকি শেখ হাসিনার পা চাটা গোলাম,দেশের প্রধানমন্ত্রীকে এমন বিশ্রী ভাষায় অপমান করার জন্য আপনার জেল ও জরিমানা হতে পারে।,['Warning-of-Consequences'],Offensive,तुरा होली ज़र्ज़ का बच्चा आप खंकी शेख हसीना के पैर चाटने वाले दास हैं,ऐसी अजीब भाषा में देश के प्रधानमंत्री का अपमान करने के लिए आपको जेल और जुर्माना लगाया जा सकता है।,তুরা হোলি জারসার সন্তান হ'ল খাকি শেখ হাসিনার পায়ে দাস,"এইরকম অদ্ভুত ভাষায়, দেশের প্রধানমন্ত্রীকে অপমান করার জন্য আপনাকে কারাবন্দী ও জরিমানা করা যেতে পারে।"
212,A1HFJSETMNC7BF,@Maimuna_Ira তুমি যে এতো বড় খানকি আগে জানতাম না 😂 😂,"আপনার ভাষা খুবই নোংরা। সকালে উঠে ভালো করে মুখ পরিষ্কার করুন, যাতে কথাও ভালো বের হয় মুখ থেকে।",['Shaming'],Offensive,@Maimuna_ira कि आपको नहीं पता था कि 😂 😂 😂 😂 😂 😂 😂 😂 से पहले इस तरह के बड़े खंकी,"आपकी भाषा बहुत गंदी है। सुबह उठें और अपना चेहरा अच्छी तरह से साफ करें, ताकि शब्द मुंह से निकलें।",@এমাইমুনা_রা যে আপনি জানেন না যে এই ধরণের বড় নাশপাতি,"আপনার ভাষা খুব নোংরা। সকালে ঘুম থেকে উঠে আপনার মুখটি ভালভাবে পরিষ্কার করুন, যাতে শব্দগুলি মুখ থেকে বেরিয়ে আসে।"
212,A1HFJSETMNC7BF,@Maimuna_Ira তুমি যে এতো বড় খানকি আগে জানতাম না 😂 😂,আর আপনার ভাষায় বোঝা যাচ্ছে আপনি কতো বড়ো সাহিত্যিক।,['Humour'],Offensive,@Maimuna_ira कि आपको नहीं पता था कि 😂 😂 😂 😂 😂 😂 😂 😂 से पहले इस तरह के बड़े खंकी,और आपकी भाषा में यह समझा जाता है कि आप कितने महान हैं।,@এমাইমুনা_রা যে আপনি জানেন না যে এই ধরণের বড় নাশপাতি,এবং আপনার ভাষায় এটি বোঝা যায় আপনি কতটা দুর্দান্ত।
4,A1HFJSETMNC7BF,90% মুসলিম নেতা চোর ছাচোর ওরা নিজেদের আখের গুছাতে ব্যাস্ত .শিক্ষিত ও উমান্দার মুসলমানদের এগিয়ে আস্তে হবে রাজনীতিতে .,"আপনি যদি বলতেন বেশির ভাগ নেতারা চোর তাও মেনে নিতাম, কিন্তু আপনি মুসলিম নেতাদেরই খালি চোর বলছেন সেটা ভীষণ অন্যায়, জাত পাতের ভিত্তিতে কাউকে ছোটো করবেন না।","['Empathy', 'Shaming']",Normal,90% मुस्लिम नेता चोर छचोर अपने गन्ने में व्यस्त हैं।,"यदि आप कहेंगे कि अधिकांश नेताओं ने चोरों को स्वीकार कर लिया होगा, लेकिन आप केवल चोर हैं कि आप खाली चोर हैं, तो यह बहुत गलत है, जाति के आधार पर किसी को भी छोटा न करें।",90% মুসলিম নেতৃবৃন্দ চোর ছেটর তাদের আখতে ব্যস্ত।,"যদি আপনি বলেন যে বেশিরভাগ নেতা অবশ্যই চোরদের গ্রহণ করেছেন, তবে আপনি কেবল চোরই যে আপনি খালি চোর, তবে এটি খুব ভুল, বর্ণের ভিত্তিতে কাউকে ছোট করবেন না।"
4,A1HFJSETMNC7BF,90% মুসলিম নেতা চোর ছাচোর ওরা নিজেদের আখের গুছাতে ব্যাস্ত .শিক্ষিত ও উমান্দার মুসলমানদের এগিয়ে আস্তে হবে রাজনীতিতে .,"দয়া করে জাত পাতের ভিত্তিতে মুসলিম দের অপমান করা বন্ধ করুন, জাত পাতের ভিত্তের বৈষম্য ঠিক নয়।","['Empathy', 'Shaming']",Normal,90% मुस्लिम नेता चोर छचोर अपने गन्ने में व्यस्त हैं।,"कृपया जाति के पत्तों के आधार पर मुसलमानों का अपमान करना बंद करें, नस्ल के आधार का भेदभाव सही नहीं है।",90% মুসলিম নেতৃবৃন্দ চোর ছেটর তাদের আখতে ব্যস্ত।,"দয়া করে বর্ণের পাতার উপর ভিত্তি করে মুসলমানদের অপমান করা বন্ধ করুন, জাতের বেসের বৈষম্য সঠিক নয়।"
5,A1HFJSETMNC7BF,"ভারতে মুসলিম নির্যাতন  না হলে। ভারত কে,,,, কুত্তা দিয়া fuck করা হবে। 🖕🖕🖕🖕","ভারতের সম্পর্কে আজে বাজে মন্তব্য করার আধিকার আপনার নেই, ভেবে চিন্তে কথা বলবেন।",['Shaming'],Hate,"अगर भारत में कोई मुस्लिम यातना नहीं है। भारत एक कुत्ते के साथ बकवास होगा ,,,,। 🖕🖕🖕🖕","आपको आज भारत के बारे में बुरी टिप्पणी करने की ज़रूरत नहीं है, आप इसके बारे में सोचेंगे।","ভারতে মুসলিম নির্যাতন না হলে। ভারত একটি কুকুরের সাথে আবর্জনা হবে ,,,,।","আপনাকে আজ ভারত সম্পর্কে খারাপ মন্তব্য করতে হবে না, আপনি এটি সম্পর্কে চিন্তা করবেন।"
5,A1HFJSETMNC7BF,"ভারতে মুসলিম নির্যাতন  না হলে। ভারত কে,,,, কুত্তা দিয়া fuck করা হবে। 🖕🖕🖕🖕","কোনো দেশের বিরুদ্ধে এই রকম অপমান জনক কথা, হিংস্রতা বৃদ্ধি করবে, এতে বড়ো মাপের ঝগড়া হতে পারে।",['Warning-of-Consequences'],Hate,"अगर भारत में कोई मुस्लिम यातना नहीं है। भारत एक कुत्ते के साथ बकवास होगा ,,,,। 🖕🖕🖕🖕","किसी देश के खिलाफ इस तरह के अपमान से हिंसा बढ़ जाएगी, इससे बड़े झगड़े हो सकते हैं।","ভারতে মুসলিম নির্যাতন না হলে। ভারত একটি কুকুরের সাথে আবর্জনা হবে ,,,,।","একটি দেশের বিরুদ্ধে এ জাতীয় অপমান সহিংসতা বাড়িয়ে তুলবে, এটি বড় ঝগড়া হতে পারে।"
213,A1HFJSETMNC7BF,"কিরে খানকি ? গর্তে ঢুকে পড়েছিস ল্যাওড়া ? তুই কেমন হিজড়ে রা, এখনো তো legal step লিনিনি আর তোর মারে ছুদি ছুদি পোয়াতি করে দিলাম ? তুই কি বহিরাগত , কেন্দ্রীয় পেট্রোলিয়াম মন্ত্রী , দেবেন্দ্র প্রধান এর আত্মীয় রাআ?  😂",আপনার ভাষায় লাগাম রাখতে শিখুন। এত গালিগালাজ করার কারণ তা খুবই ছোটো। মহিলারা ও তৃতীয় লিঙ্গের মানুষরা আপনার কি ক্ষতি করেছে যে এই অকথ্য ভাষায় গালিগালাজ করছেন?,['Shaming'],Offensive,"किरी खंकी? क्या आप छेद में आ गए हैं? आप हिजरा कैसे हैं, फिर भी कानूनी कदम लिनेनी और आपकी घोड़ी ने चाकू बना दिया है? क्या आप एक बाहरी, केंद्रीय पेट्रोलियम मंत्री, देवेंद्र प्रमुख के रिश्तेदार आरए हैं? 😂",अपनी भाषा में बागडोर रखना सीखें। इतना अपमानजनक होने का कारण बहुत छोटा है। महिलाओं और तीसरे लोगों ने आपको नुकसान पहुंचाया है कि आप इस असत्य भाषा में गाली दे रहे हैं?,"কিরি খুনি? আপনি কি গর্তে এসেছেন? আপনি কীভাবে হিজড়া, তবুও আইনী পদক্ষেপ লিনেনি এবং আপনার মারে একটি ছুরি তৈরি করেছেন? আপনি কি একজন বাহ্যিক, ইউনিয়ন পেট্রোলিয়াম মন্ত্রী, দেবেন্দ্র চিফের আত্মীয় রা?",আপনার ভাষায় লাগাম রাখতে শিখুন। এতটা অবমাননাকর হওয়ার কারণটি খুব ছোট। মহিলা এবং তৃতীয় ব্যক্তিরা আপনাকে ক্ষতি করেছে যে আপনি এই অসত্য ভাষায় অপব্যবহার করছেন?
213,A1HFJSETMNC7BF,"কিরে খানকি ? গর্তে ঢুকে পড়েছিস ল্যাওড়া ? তুই কেমন হিজড়ে রা, এখনো তো legal step লিনিনি আর তোর মারে ছুদি ছুদি পোয়াতি করে দিলাম ? তুই কি বহিরাগত , কেন্দ্রীয় পেট্রোলিয়াম মন্ত্রী , দেবেন্দ্র প্রধান এর আত্মীয় রাআ?  😂","আপনি কি জানেন আপনি এইরকম অশালীন ভাষায় গালমন্দ করার জন্য, আপনার বিরুদ্ধে আইনি পদক্ষেপ নেওয়া যেতে পারে।",['Warning-of-Consequences'],Offensive,"किरी खंकी? क्या आप छेद में आ गए हैं? आप हिजरा कैसे हैं, फिर भी कानूनी कदम लिनेनी और आपकी घोड़ी ने चाकू बना दिया है? क्या आप एक बाहरी, केंद्रीय पेट्रोलियम मंत्री, देवेंद्र प्रमुख के रिश्तेदार आरए हैं? 😂","क्या आप जानते हैं कि आप इस तरह की अभद्र भाषा बनाने के लिए, अपने खिलाफ कानूनी कार्रवाई कर सकते हैं।","কিরি খুনি? আপনি কি গর্তে এসেছেন? আপনি কীভাবে হিজড়া, তবুও আইনী পদক্ষেপ লিনেনি এবং আপনার মারে একটি ছুরি তৈরি করেছেন? আপনি কি একজন বাহ্যিক, ইউনিয়ন পেট্রোলিয়াম মন্ত্রী, দেবেন্দ্র চিফের আত্মীয় রা?",আপনি কি জানেন যে এই জাতীয় অশ্লীল ভাষা তৈরি করতে আপনি আপনার বিরুদ্ধে আইনী ব্যবস্থা নিতে পারেন।
