ids,annotatorId,texts,counterSpeechs,counterSpeechTypes,textTypes,hatespeech_trans,counterspeech_trans
209,A1HFJSETMNC7BF,"কেনরে খানকি মাগীর পুলা, চোখ কী পুটকির ভিতর ঢুকাই রাখছোস??? নাকি পর্ণ দেখতে দেখতে চোখ নষ্ট কইরা ফেলছোস???😑😑","গালিগালাজ না করে, কথাটার মানে এই দাঁড়ায়, "" চোখে দেখতে পাওনা?"" এইটুকু কথা। এত নোংরামি।","['Humour', 'Shaming']",Offensive,"कनकी मैगी पुला, आँखें आँखें अंदर रख रही हैं ??? या आप अश्लील देखने के लिए अपनी आँखें बर्बाद करते हैं ???","अपमानजनक होने के बिना, शब्द का अर्थ है, ""क्या आप आँखें नहीं देख सकते?"" बस इतना ही तो गंदी।"
209,A1HFJSETMNC7BF,"কেনরে খানকি মাগীর পুলা, চোখ কী পুটকির ভিতর ঢুকাই রাখছোস??? নাকি পর্ণ দেখতে দেখতে চোখ নষ্ট কইরা ফেলছোস???😑😑",এই মন্তব্য করে কি জীবনে কিছু অর্জন করতে পারলেন? বরং এই রকম পোস্টের জন্য ঝগড়া বিবাদ বাড়তে থাকবে।,['Warning-of-Consequences'],Offensive,"कनकी मैगी पुला, आँखें आँखें अंदर रख रही हैं ??? या आप अश्लील देखने के लिए अपनी आँखें बर्बाद करते हैं ???","क्या आप यह टिप्पणी करके जीवन में कुछ भी हासिल कर सकते हैं? बल्कि, इस तरह के पदों के लिए विवाद में वृद्धि जारी रहेगी।"
2,A1HFJSETMNC7BF,এটা বাংলাদেশেই সম্ভব !( যে দেশকে Dictionary তে পৃথিবীর শ্রেষ্ট অসভ্য দেশ বলে),"যেকোনো দেশ কেই অসভ্য বলা বন্ধ করুন, আজে বাজে কথা বললে লোকে আপনাকেই অসভ্য বলবে।",['Warning-of-Consequences'],Hate,यह बांग्लादेश में संभव है!,"किसी भी देश में किसी को भी कहना बंद करो, अगर आप आज बुरी बातें कहते हैं, तो लोग आपको असभ्य कहेंगे।"
2,A1HFJSETMNC7BF,এটা বাংলাদেশেই সম্ভব !( যে দেশকে Dictionary তে পৃথিবীর শ্রেষ্ট অসভ্য দেশ বলে),"বাংলাদেশ একটু সুন্দর দেশ। চারিপাশে সবুজ ধান খেত, মিষ্টি ভাষী মানুষ। আপনি গিয়ে ঘুরে আসবেন, আপনার মতামত তখন পালটে যাবে।",['Empathy'],Hate,यह बांग्लादेश में संभव है!,"बांग्लादेश एक सुंदर देश है। चारों ओर हरे धान के खेत, मीठे लोग। आप जाकर घूमेंगे, आपकी राय तब बदल जाएगी।"
3,A9J41F0FTR2R7,"সারা পৃথিবীতে মুসলিম রা মার খাচ্ছে কেন? এমনকি নিজদেশেও নিজেরা নিজেরাই মারামারি করে মরছে,এর কারন কি জানেন? মুসলিমরা আতংবাদী",কিছু মুসলিমরা আতংবাদী বলেই যে আপনি সবাই কেই আতংবাদী বলবেন এটা ঠিক নয়।,['Empathy'],Hate,"दुनिया भर में मुस्लिम क्यों पिटाई कर रहा है? यहां तक ​​कि अपने देश में, वे खुद से मर रहे हैं, क्या आप इसका कारण जानते हैं? मुसलमान",कुछ मुसलमानों के लिए यह कहना सही नहीं है कि आप सभी कहेंगे कि आप सभी थाइमैटिक हैं।
3,A9J41F0FTR2R7,"সারা পৃথিবীতে মুসলিম রা মার খাচ্ছে কেন? এমনকি নিজদেশেও নিজেরা নিজেরাই মারামারি করে মরছে,এর কারন কি জানেন? মুসলিমরা আতংবাদী","আপনি এটা ভুল বললেন মুসলিমরা কেনো পৃথিবীর যে কোনো ধর্মের মানুষ অন্য ধর্ম দ্বারা অপমানিত হলে তারা তাদের সন্মান রক্ষার্থে  রাগ প্রকাশ করে,কিন্তু কোন ধর্ম কি ভাবে তা প্রকাশ করে তার উপর নির্ভর করে খারাপ বা ভালোর বিচার,কেউ বুদ্ধিমানের সাথে ঠান্ডা যুদ্ধ করে কেউ আক্রোশ এর সাথে।সেখানেও দেখবেন কেউ হয়ত মারপিট ও করেছে তাই সেটা কিছু মানুষ দের উপর নির্ভর করে কোনো জাতি বা গোষ্ঠীর উপর না।",['Shaming'],Hate,"दुनिया भर में मुस्लिम क्यों पिटाई कर रहा है? यहां तक ​​कि अपने देश में, वे खुद से मर रहे हैं, क्या आप इसका कारण जानते हैं? मुसलमान","आपने यह गलत कहा कि क्यों पृथ्वी पर किसी भी धर्म के लोगों को अन्य धर्मों से अपमानित किया जाता है, वे अपने सम्मान की रक्षा के लिए अपना सम्मान व्यक्त करते हैं, लेकिन वे इस बात पर निर्भर करते हैं कि कोई धर्म इसे कैसे व्यक्त करता है, बुरा या अच्छा निर्णय, कुछ बुद्धिमानी से किसी ऐसे व्यक्ति के साथ लड़ रहे हैं जो बुद्धिमान है। इसके अलावा, आप यह भी देखेंगे कि किसी ने हराया और किया हो सकता है, इसलिए यह किसी भी दौड़ या समूह पर कुछ लोगों पर निर्भर नहीं करता है।"
211,A1HFJSETMNC7BF,তুরা হলি জারজের বাচ্চা তোমরা খানকি শেখ হাসিনার পা চাটা গোলাম,আপনি একটা দেশের প্রধানমন্ত্রী কে উদ্দেশ্য করে কটূক্তি করছেন। ভবিষ্যতে সাবধান।,['Shaming'],Offensive,तुरा होली ज़र्ज़ का बच्चा आप खंकी शेख हसीना के पैर चाटने वाले दास हैं,आप किसी देश के प्रधानमंत्री के बारे में मजाक कर रहे हैं। भविष्य में सावधान रहें।
211,A1HFJSETMNC7BF,তুরা হলি জারজের বাচ্চা তোমরা খানকি শেখ হাসিনার পা চাটা গোলাম,দেশের প্রধানমন্ত্রীকে এমন বিশ্রী ভাষায় অপমান করার জন্য আপনার জেল ও জরিমানা হতে পারে।,['Warning-of-Consequences'],Offensive,तुरा होली ज़र्ज़ का बच्चा आप खंकी शेख हसीना के पैर चाटने वाले दास हैं,ऐसी अजीब भाषा में देश के प्रधानमंत्री का अपमान करने के लिए आपको जेल और जुर्माना लगाया जा सकता है।
4,A1HFJSETMNC7BF,90% মুসলিম নেতা চোর ছাচোর ওরা নিজেদের আখের গুছাতে ব্যাস্ত .শিক্ষিত ও উমান্দার মুসলমানদের এগিয়ে আস্তে হবে রাজনীতিতে .,"আপনি যদি বলতেন বেশির ভাগ নেতারা চোর তাও মেনে নিতাম, কিন্তু আপনি মুসলিম নেতাদেরই খালি চোর বলছেন সেটা ভীষণ অন্যায়, জাত পাতের ভিত্তিতে কাউকে ছোটো করবেন না।","['Empathy', 'Shaming']",Normal,90% मुस्लिम नेता चोर छचोर अपने गन्ने में व्यस्त हैं।,"यदि आप कहेंगे कि अधिकांश नेताओं ने चोरों को स्वीकार कर लिया होगा, लेकिन आप केवल चोर हैं कि आप खाली चोर हैं, तो यह बहुत गलत है, जाति के आधार पर किसी को भी छोटा न करें।"
4,A1HFJSETMNC7BF,90% মুসলিম নেতা চোর ছাচোর ওরা নিজেদের আখের গুছাতে ব্যাস্ত .শিক্ষিত ও উমান্দার মুসলমানদের এগিয়ে আস্তে হবে রাজনীতিতে .,"দয়া করে জাত পাতের ভিত্তিতে মুসলিম দের অপমান করা বন্ধ করুন, জাত পাতের ভিত্তের বৈষম্য ঠিক নয়।","['Empathy', 'Shaming']",Normal,90% मुस्लिम नेता चोर छचोर अपने गन्ने में व्यस्त हैं।,"कृपया जाति के पत्तों के आधार पर मुसलमानों का अपमान करना बंद करें, नस्ल के आधार का भेदभाव सही नहीं है।"
5,A1HFJSETMNC7BF,"ভারতে মুসলিম নির্যাতন  না হলে। ভারত কে,,,, কুত্তা দিয়া fuck করা হবে। 🖕🖕🖕🖕","ভারতের সম্পর্কে আজে বাজে মন্তব্য করার আধিকার আপনার নেই, ভেবে চিন্তে কথা বলবেন।",['Shaming'],Hate,"अगर भारत में कोई मुस्लिम यातना नहीं है। भारत एक कुत्ते के साथ बकवास होगा ,,,,। 🖕🖕🖕🖕","आपको आज भारत के बारे में बुरी टिप्पणी करने की ज़रूरत नहीं है, आप इसके बारे में सोचेंगे।"
5,A1HFJSETMNC7BF,"ভারতে মুসলিম নির্যাতন  না হলে। ভারত কে,,,, কুত্তা দিয়া fuck করা হবে। 🖕🖕🖕🖕","কোনো দেশের বিরুদ্ধে এই রকম অপমান জনক কথা, হিংস্রতা বৃদ্ধি করবে, এতে বড়ো মাপের ঝগড়া হতে পারে।",['Warning-of-Consequences'],Hate,"अगर भारत में कोई मुस्लिम यातना नहीं है। भारत एक कुत्ते के साथ बकवास होगा ,,,,। 🖕🖕🖕🖕","किसी देश के खिलाफ इस तरह के अपमान से हिंसा बढ़ जाएगी, इससे बड़े झगड़े हो सकते हैं।"
6,A9J41F0FTR2R7,"শুধুমাত্র বারাসাতের ছেলেরাই যদি তিস্তাতে গিয়ে মূত্রত্যাগ করে তাহলেই বাংলাদেশে বন্যা হয়ে যাবে , তারা আবার বড় বড় কথা বলে।","বাংলাদেশের সম্পর্কে আজে বাজে মন্তব্য করার আধিকার আপনার নেই, ভেবে চিন্তে কথা বলবেন, আর যদি ভেবে চিন্তে কথা না বলতে পারেন তাহলে চুপ থাকুন।",['Warning-of-Consequences'],Hate,"केवल अगर बरसाट के लड़के तीस्ता में जाते हैं तो बांग्लादेश में बाढ़ आ जाएगी, जब वे तीस्ता में जाते हैं, तो वे फिर से बड़ी बातें कहते हैं।","आपको आज बांग्लादेश के बारे में एक बुरी टिप्पणी करने की ज़रूरत नहीं है, आप एक विचार में सोचेंगे, और यदि आप विचार में नहीं सोचते हैं, तो शांत रहें।"
6,A9J41F0FTR2R7,"শুধুমাত্র বারাসাতের ছেলেরাই যদি তিস্তাতে গিয়ে মূত্রত্যাগ করে তাহলেই বাংলাদেশে বন্যা হয়ে যাবে , তারা আবার বড় বড় কথা বলে।",আপনি কোনো দেশ সমন্ধে এইধরণের মন্তব্য করতে পারেন না। আপনি নিজের সাথে সমগ্র বারাসাত বাসী কেও ছোটো করছেন । বড় ছোট কথার বিচার না করে আপনি বরং আপনার মানসিকতা কে একটু পরিষ্কার পরিছন্ন করুন।,['Humour'],Hate,"केवल अगर बरसाट के लड़के तीस्ता में जाते हैं तो बांग्लादेश में बाढ़ आ जाएगी, जब वे तीस्ता में जाते हैं, तो वे फिर से बड़ी बातें कहते हैं।","आप किसी भी देश पर टिप्पणी नहीं कर सकते। आप अपने साथ बरसाट में छोटे हैं। बड़े शब्दों को पहचानने के बजाय, आप अपनी मानसिकता को थोड़ा साफ करते हैं।"
7,A1HFJSETMNC7BF,"ওহে পাকিস্তানি কুকুরেরা, তোরা বাংলা শিখলি কেমনে রে!!!!!!!!!!!!! হাউ ফানি। আমাদের বাংলা ভাষাটা আর ব্যবহার করিস না, করলে তোদের সবগুলোকে টুকরা টুকরা করে কেটে কুকুরকে খাওয়াব। তবে বোধহয় কুকুরও খেতে চাইবে না তোদের কাটা টুকরা। তোরা তোদের নিজেদের ভাষা পাকিস্তানি ভাষা ব্যবহার করতে পারিস না? বাংলা কি তোদের মানায় বল? বামুন হয়ে চাঁদে হাত দেয়ার এই সাহস কোথায় পাইলি রে তোরা?","পাকিস্তানের লোকেরাও কিন্তু মানুষ, আপনার সাহস কি ভাবে হয় ওদের কে কুকুর বলার ? কখনো ভেবে দেখছেন, আপনাকে কেউ এরকম বললে কেমন লাগতে পারে ?","['Shaming', 'Warning-of-Consequences']",Hate,"ओह पाकिस्तानी कुत्ते, आप बंगला कैसे सीखते हैं !!!!!!!!!!!!!!!! कितना मजाकिया। यदि आप हमारी बंगला भाषा का उपयोग नहीं करते हैं, तो हम आप सभी को टुकड़ों में काट देंगे और कुत्ते को खिलाते हैं। हालांकि, कुत्ता शायद आपके कटे हुए टुकड़े नहीं खाना चाहेगा। आप अपनी भाषा पाकिस्तानी भाषा का उपयोग नहीं कर सकते? बंगला आपसे क्या कहती है? चंद्रमा को हाथ देने के लिए आपको यह साहस कहां से मिला?","पाकिस्तान के लोग लेकिन लोग, आपको एक कुत्ता बताने का साहस कैसे है? कभी आश्चर्य है, कोई भी ऐसा कैसे महसूस कर सकता है?"
7,A1HFJSETMNC7BF,"ওহে পাকিস্তানি কুকুরেরা, তোরা বাংলা শিখলি কেমনে রে!!!!!!!!!!!!! হাউ ফানি। আমাদের বাংলা ভাষাটা আর ব্যবহার করিস না, করলে তোদের সবগুলোকে টুকরা টুকরা করে কেটে কুকুরকে খাওয়াব। তবে বোধহয় কুকুরও খেতে চাইবে না তোদের কাটা টুকরা। তোরা তোদের নিজেদের ভাষা পাকিস্তানি ভাষা ব্যবহার করতে পারিস না? বাংলা কি তোদের মানায় বল? বামুন হয়ে চাঁদে হাত দেয়ার এই সাহস কোথায় পাইলি রে তোরা?","সবার ওপর মানুষ সত্য, তাহার ওপর কেউ নাই। একে অপরকে গালি গালিগালাজ বন্ধ করুন এবং বন্ধুপ্রীতি সম্পর্ক গড়ে তুলুন।",['Empathy'],Hate,"ओह पाकिस्तानी कुत्ते, आप बंगला कैसे सीखते हैं !!!!!!!!!!!!!!!! कितना मजाकिया। यदि आप हमारी बंगला भाषा का उपयोग नहीं करते हैं, तो हम आप सभी को टुकड़ों में काट देंगे और कुत्ते को खिलाते हैं। हालांकि, कुत्ता शायद आपके कटे हुए टुकड़े नहीं खाना चाहेगा। आप अपनी भाषा पाकिस्तानी भाषा का उपयोग नहीं कर सकते? बंगला आपसे क्या कहती है? चंद्रमा को हाथ देने के लिए आपको यह साहस कहां से मिला?","लोग सभी पर सच हैं, इस पर कोई नहीं है। एक दूसरे के लिए दुरुपयोग बंद करो और एक दोस्ताना संबंध बनाएं।"
9,A1HFJSETMNC7BF,"Nobel কে পাবে সেটা কি তোর খানকি মা ঠিক করে রে যমের অরুচি ?😂 দুটো প্রশ্ন করছি ।  ভোটের পর দিদির ফুঁটোর ফেদা চাটার কাজ করবি ?  আজ দুপুরে আমার গু না তোর কোন একটা বাপের হাগা গোবর খাবি ?  শালা , জাতমুর্খ tweeter চদাতে এসেছে । হিজরে বুড়ো ভাম ।","আপনার মুখের ভাষা অত্যন্ত নোংরা এবং জঘন্য, আপনারও তো মা আছে, আপনার লজ্জা করে না অন্য কারোর মায়ের সম্পর্কে এই রকম কথা বলতে ? সম্মান দিয়ে কথা বলতে শিখুন।","['Hypocrisy', 'Shaming']",Offensive,"क्या आपकी खंकी माँ तय करती है कि नोबेल कौन मिलेगा? वोट के बाद, दीदी फूटो फेडा ने काम किया? आज दोपहर, मेरे पिता या आपके एक पिता गोबर खाएंगे? शाला, जटमुर धर्मूर ट्वीटर चाडा आए हैं। हिजरा में पुराना वाम।","आपकी मुंह की भाषा बहुत गंदी और चौंकाने वाली है, आपके पास एक माँ है, क्या आपको किसी और की माँ के बारे में ऐसा कहने में शर्म नहीं आती है? सम्मान के साथ बोलना सीखें।"
9,A1HFJSETMNC7BF,"Nobel কে পাবে সেটা কি তোর খানকি মা ঠিক করে রে যমের অরুচি ?😂 দুটো প্রশ্ন করছি ।  ভোটের পর দিদির ফুঁটোর ফেদা চাটার কাজ করবি ?  আজ দুপুরে আমার গু না তোর কোন একটা বাপের হাগা গোবর খাবি ?  শালা , জাতমুর্খ tweeter চদাতে এসেছে । হিজরে বুড়ো ভাম ।","অন্যকে গালি দেওয়া বন্ধ করুন, নিজের মুখের ভাষা ঠিক করুন।",['Shaming'],Offensive,"क्या आपकी खंकी माँ तय करती है कि नोबेल कौन मिलेगा? वोट के बाद, दीदी फूटो फेडा ने काम किया? आज दोपहर, मेरे पिता या आपके एक पिता गोबर खाएंगे? शाला, जटमुर धर्मूर ट्वीटर चाडा आए हैं। हिजरा में पुराना वाम।","दूसरों को गाली देना बंद करो, अपने मुंह की भाषा को ठीक करें।"
216,A9J41F0FTR2R7,"এইরকম লেখে,বাচ্চারা।তুই তো তোর বেশ্যা মায়ের ফুটো ফেটে কবেই বেড়িয়ে ছিস।চুল পেকে গেছে,টাক পরে গেছে কিন্তু তোর বিকলাঙ্গ ভাবটা যাইনি।ওরে খানকি,তোর copy paste প্রশ্নের উত্তর পেলি না,legal কিছু করলিও না,উল্টে তোর মড়া বাপ মা কে চোদাচ্ছি।  কিছুতো কর,ল্যাওড়া 😂 😂",আপনি মানুষ হিসেবে খুবই খারাপ। শারীরিক বিকলাঙ্গতা কাটানো যায়। আপনি মানসিক বিকলাঙ্গ। আপনাকে সারিয়ে তোলা মুশকিল।,['Shaming'],Hate,"इस तरह से लिखना, बच्चे। जब माँ फट गई तो आप माँ का रिसाव है। चुल चला गया है, पैसा चला गया है लेकिन आप गायब नहीं हुए हैं। कौन कमबख्त है कुछ करो, लौरा 😂 😂",आप एक इंसान के रूप में बहुत बुरे हैं। शारीरिक विकलांगता को दूर किया जा सकता है। आप मानसिक रूप से बिगड़ा हुआ हैं। आपको ठीक करना मुश्किल है।
216,A9J41F0FTR2R7,"এইরকম লেখে,বাচ্চারা।তুই তো তোর বেশ্যা মায়ের ফুটো ফেটে কবেই বেড়িয়ে ছিস।চুল পেকে গেছে,টাক পরে গেছে কিন্তু তোর বিকলাঙ্গ ভাবটা যাইনি।ওরে খানকি,তোর copy paste প্রশ্নের উত্তর পেলি না,legal কিছু করলিও না,উল্টে তোর মড়া বাপ মা কে চোদাচ্ছি।  কিছুতো কর,ল্যাওড়া 😂 😂",কোনো মানুষের শারীরিক অক্ষমতা নিয়ে মন্তব্য না করাই উচিত তবুও আপনি যখন করেছেন তখন বলি আপনার উচিত ছিল তাকে যথাসাধ্য সাহায্য করা তাহলে অন্তত আপনার মানসিক বিকলাঙ্গতার পরিচয় সমাজ পেতোনা। আপনি এতটাই মানসিক ভাবে অসুস্থ যে আপনি তার মৃত মা বাবা কেও অসম্মান করছেন  তার সাথে তাদের বৃদ্ধ ছেলে কেও কিছু তো মানবিকতা রাখুন।,"['Humour', 'Shaming']",Hate,"इस तरह से लिखना, बच्चे। जब माँ फट गई तो आप माँ का रिसाव है। चुल चला गया है, पैसा चला गया है लेकिन आप गायब नहीं हुए हैं। कौन कमबख्त है कुछ करो, लौरा 😂 😂","यहां तक ​​कि जब आप किसी व्यक्ति की शारीरिक विकलांगता पर टिप्पणी नहीं करते हैं, तो आपको कहना चाहिए कि आपको सबसे अच्छी मदद करनी चाहिए, तो कम से कम आपकी भावनात्मक विकलांगता की पहचान नहीं की जाएगी। आप मानसिक रूप से इतने बीमार हैं कि आप अपने मृत माता -पिता का अनादर कर रहे हैं और अपने बूढ़े बेटे को कुछ मानवता रखते हैं।"
217,A1HFJSETMNC7BF,"এই গুদ মারানি , রেনডীর বাচ্ছা । শালা, খানকি বলতে পারেনা কোন গোয়ালে থাকে ? ২রা মের পর তুই যদি এক বাপের বেটা হোস তবে ঠিকানা দিবি , ঘরে ঢুকে বোঝাবো মোটভাই কাকে বলে , বেশ্যার বাচ্ছা । হিজরে মাগি চুরি পরে , ঘরে বসে জোড়াফুল মাড়াচ্ছে ।",রাজনৈতিক দলের মধ্যে ঝগড়া বিবাদ স্বাভাবিক। কিন্তু তা গালিগালাজ করে সীমা ছাড়িয়ে যাবেন না।,['Shaming'],Offensive,"यह मारानी, ​​रैंडी का बच्चा है। शाला, खंकी यह नहीं कह सकते कि कौन सी गाय है? यदि आपके पास 2 के बाद एक पिता की बीटा नली है, तो पता दें, मैं घर में प्रवेश करूंगा और समझाऊंगा कि क्या कहा जाता है, एक वेश्या का बेटा। हिजड़ा में मैगी चोरी करने के बाद, जुड़वाँ घर पर जा रहे हैं।",राजनीतिक दलों के बीच विवाद सामान्य है। लेकिन यह अपमानजनक और सीमा से परे नहीं होगा।
217,A1HFJSETMNC7BF,"এই গুদ মারানি , রেনডীর বাচ্ছা । শালা, খানকি বলতে পারেনা কোন গোয়ালে থাকে ? ২রা মের পর তুই যদি এক বাপের বেটা হোস তবে ঠিকানা দিবি , ঘরে ঢুকে বোঝাবো মোটভাই কাকে বলে , বেশ্যার বাচ্ছা । হিজরে মাগি চুরি পরে , ঘরে বসে জোড়াফুল মাড়াচ্ছে ।",সমাজের প্রতি আপনার নৈতিক দায়িত্ব আছে। ওই জায়গায় এভাবে কথা বলতে থাকলে ভবিষ্যৎ প্রজন্ম কী শিখবে?,"['Empathy', 'Warning-of-Consequences']",Offensive,"यह मारानी, ​​रैंडी का बच्चा है। शाला, खंकी यह नहीं कह सकते कि कौन सी गाय है? यदि आपके पास 2 के बाद एक पिता की बीटा नली है, तो पता दें, मैं घर में प्रवेश करूंगा और समझाऊंगा कि क्या कहा जाता है, एक वेश्या का बेटा। हिजड़ा में मैगी चोरी करने के बाद, जुड़वाँ घर पर जा रहे हैं।",आपके पास समाज के लिए नैतिक जिम्मेदारी है। यदि उस स्थान पर बात करना भविष्य की पीढ़ी क्या सीखेगा?
11,A1HFJSETMNC7BF,"ওই বেশ্যারবেটা,EVMএ কারচুপি করে দেখাবার জন্য যখন EC open challenge দিয়েছিল তখন তোরা কি মায়ের গুদে লুকিয়ে রেনডীর বাচ্ছা?মুর্খচোদা ঢপবাজ,দুলাইন ইংরাজী লিখতে পারে না আবার Techno তে MCA পড়ায় ল্যাওড়াচোদা জন্ম ভিখারী!কোথায় থাকিস বলতে পারিস না,শালা পেঁচাচোদা।","আপনার মুখের ভাষা অত্যন্ত নোংরা এবং জঘন্য, আপনার ভিন্ন মত হতেই পারে, তাই বলে আপনার অধিকার নেই কারোর মায়ের সম্পর্কে এই রকম কুরুচি কর মন্তব্য করা,  সবাইকে সম্মান দিয়ে কথা বলতে শিখুন।",['Shaming'],Offensive,"जब ईसी खुली चुनौती वेश्या, ईवीएम को दी गई थी, तो क्या आप अपनी मां के गुदा में छिप गए थे?","आपकी मुंह की भाषा बहुत गंदी और चौंकाने वाली है, आप अलग हो सकते हैं, इसलिए आपको अपनी मां पर टिप्पणी करने का कोई अधिकार नहीं है, सभी के संबंध में बोलना सीखें।"
